address,block_date,project,blockchain,transaction_type,loan_type,symbol,daily_count,daily_volume_usd
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-18,aave,ethereum,borrow,variable,USDT,11,17152385.53
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-18,aave,ethereum,repay,,GHO,1,-2228498.19
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-18,aave,ethereum,repay,,cbETH,1,-17215.99
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-18,aave,ethereum,repay,,osETH,1,-2542.27
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-17,aave,ethereum,borrow,variable,crvUSD,2,15711.57
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-17,aave,ethereum,borrow,variable,USDT,1,4288874.2
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-17,aave,ethereum,borrow,variable,USDe,2,109340.37
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-17,aave,ethereum,borrow,variable,tBTC,1,263230.37
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-17,aave,ethereum,repay,,tBTC,1,-263230.37
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-17,aave,ethereum,borrow,variable,USDC,3,2652657.75
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-17,aave,ethereum,repay,,USDT,1,-4288874.2
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-17,aave,ethereum,borrow,variable,cbETH,1,25354.26
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-17,aave,ethereum,borrow,variable,cbBTC,1,196723.93
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-17,aave,ethereum,repay,,cbBTC,1,-196723.93
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-17,aave,ethereum,repay,,cbETH,1,-25354.26
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-17,aave,ethereum,repay,,USDe,2,-109340.37
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-17,aave,ethereum,repay,,wstETH,1,-130091.23
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-17,aave,ethereum,repay,,crvUSD,2,-15711.57
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-17,aave,ethereum,repay,,USDC,3,-2652657.75
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-17,aave,ethereum,borrow,variable,wstETH,1,130091.23
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-16,aave,ethereum,borrow,variable,tBTC,1,782.64
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-16,aave,ethereum,repay,,crvUSD,3,-52369.61
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-16,aave,ethereum,borrow,variable,EURC,1,554.66
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-12-16,aave,ethereum,repay,,USDC,1,-2234980.51
